ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1415225937.48601,dbt3,10541,10,sekondquad,psql,,-1,2014-11-05 22:18:57.427316+00,2014-11-05 22:18:57.43098+00,2014-11-05 22:18:57.43098+00,f,COPY supplier FROM '/home/sekondquad/dbt3/dss/supplier.tbl' USING DELIMITERS '|';,active,2014-11-05 22:18:57.430985+00
1415225937.48601,dbt3,10542,10,sekondquad,psql,,-1,2014-11-05 22:18:57.427471+00,2014-11-05 22:18:57.432795+00,2014-11-05 22:18:57.432795+00,f,COPY part FROM '/home/sekondquad/dbt3/dss/part.tbl' USING DELIMITERS '|';,active,2014-11-05 22:18:57.432798+00
1415225937.48601,dbt3,10543,10,sekondquad,psql,,-1,2014-11-05 22:18:57.427993+00,2014-11-05 22:18:57.432601+00,2014-11-05 22:18:57.432601+00,f,COPY partsupp FROM '/home/sekondquad/dbt3/dss/partsupp.tbl' USING DELIMITERS '|';,active,2014-11-05 22:18:57.432604+00
1415225937.48601,dbt3,10573,10,sekondquad,psql,,-1,2014-11-05 22:18:57.481178+00,2014-11-05 22:18:57.486012+00,2014-11-05 22:18:57.486012+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-05 22:18:57.486017+00
1415225937.48601,dbt3,10545,10,sekondquad,psql,,-1,2014-11-05 22:18:57.428255+00,2014-11-05 22:18:57.432538+00,2014-11-05 22:18:57.432538+00,f,COPY customer FROM '/home/sekondquad/dbt3/dss/customer.tbl' USING DELIMITERS '|';,active,2014-11-05 22:18:57.432543+00
1415225937.48601,dbt3,10574,10,sekondquad,psql,,-1,2014-11-05 22:18:57.481443+00,2014-11-05 22:18:57.485928+00,2014-11-05 22:18:57.485928+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-05 22:18:57.485931+00
1415225937.48601,dbt3,10575,10,sekondquad,psql,,-1,2014-11-05 22:18:57.481938+00,2014-11-05 22:18:57.485751+00,2014-11-05 22:18:57.485751+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-05 22:18:57.485757+00
1415225937.48601,dbt3,10548,10,sekondquad,psql,,-1,2014-11-05 22:18:57.430182+00,2014-11-05 22:18:57.434218+00,2014-11-05 22:18:57.434218+00,f,COPY orders FROM '/home/sekondquad/dbt3/dss/orders.tbl' USING DELIMITERS '|';,active,2014-11-05 22:18:57.434223+00
1415225937.48601,dbt3,10549,10,sekondquad,psql,,-1,2014-11-05 22:18:57.431017+00,2014-11-05 22:18:57.43475+00,2014-11-05 22:18:57.43475+00,f,COPY lineitem FROM '/home/sekondquad/dbt3/dss/lineitem.tbl' USING DELIMITERS '|';,active,2014-11-05 22:18:57.434754+00
1415225937.48601,dbt3,10577,10,sekondquad,psql,,-1,2014-11-05 22:18:57.482472+00,2014-11-05 22:18:57.485341+00,2014-11-05 22:18:57.485341+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-05 22:18:57.485345+00
1415225937.48601,dbt3,10576,10,sekondquad,psql,,-1,2014-11-05 22:18:57.482674+00,2014-11-05 22:18:57.485708+00,2014-11-05 22:18:57.485708+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-05 22:18:57.48571+00
1415225997.491,dbt3,10620,10,sekondquad,psql,,-1,2014-11-05 22:19:56.399732+00,2014-11-05 22:19:56.402507+00,2014-11-05 22:19:56.402507+00,f,"
CREATE INDEX orders_o_orderkey_o_orderdate_idx
ON orders (o_orderkey, o_orderdate);",active,2014-11-05 22:19:56.40251+00
1415225997.491,dbt3,10621,10,sekondquad,psql,,-1,2014-11-05 22:19:56.399869+00,2014-11-05 22:19:56.402592+00,2014-11-05 22:19:56.402592+00,f,"
CREATE INDEX orders_o_orderdate_o_orderkey_idx
ON orders (o_orderdate, o_orderkey);",active,2014-11-05 22:19:56.402594+00
1415225997.491,dbt3,10619,10,sekondquad,psql,,-1,2014-11-05 22:19:56.399639+00,2014-11-05 22:19:56.402812+00,2014-11-05 22:19:56.402812+00,t,"
ALTER TABLE orders
ADD CONSTRAINT pk_orders PRIMARY KEY (o_orderkey) ;",active,2014-11-05 22:19:56.402813+00
1415225997.491,dbt3,10623,10,sekondquad,psql,,-1,2014-11-05 22:19:57.111791+00,2014-11-05 22:19:57.114294+00,2014-11-05 22:19:57.114294+00,f,ANALYZE customer;,active,2014-11-05 22:19:57.114295+00
1415225997.491,dbt3,10630,10,sekondquad,psql,,-1,2014-11-05 22:19:57.487191+00,2014-11-05 22:19:57.491005+00,2014-11-05 22:19:57.491005+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:19:57.491014+00
1415225997.491,dbt3,10632,10,sekondquad,psql,,-1,2014-11-05 22:19:57.487529+00,2014-11-05 22:19:57.491132+00,2014-11-05 22:19:57.491132+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:19:57.491139+00
1415225997.491,dbt3,10633,10,sekondquad,psql,,-1,2014-11-05 22:19:57.487668+00,2014-11-05 22:19:57.491242+00,2014-11-05 22:19:57.491242+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:19:57.491245+00
1415225997.491,dbt3,10631,10,sekondquad,psql,,-1,2014-11-05 22:19:57.487642+00,2014-11-05 22:19:57.491421+00,2014-11-05 22:19:57.491421+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:19:57.491426+00
1415225997.491,dbt3,10549,10,sekondquad,psql,,-1,2014-11-05 22:18:57.431017+00,2014-11-05 22:18:57.43475+00,2014-11-05 22:18:57.43475+00,f,COPY lineitem FROM '/home/sekondquad/dbt3/dss/lineitem.tbl' USING DELIMITERS '|';,active,2014-11-05 22:18:57.434754+00
1415225997.491,dbt3,10634,10,sekondquad,psql,,-1,2014-11-05 22:19:57.488938+00,2014-11-05 22:19:57.492892+00,2014-11-05 22:19:57.492892+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:19:57.492897+00
1415225997.491,dbt3,10603,10,sekondquad,psql,,-1,2014-11-05 22:19:06.493491+00,2014-11-05 22:19:06.495627+00,2014-11-05 22:19:06.495627+00,f,"
CREATE INDEX part_p_container_p_brand_p_partkey_idx
ON part(p_container, p_brand, p_partkey);",active,2014-11-05 22:19:06.495628+00
1415225997.491,dbt3,10604,10,sekondquad,psql,,-1,2014-11-05 22:19:06.495237+00,2014-11-05 22:19:06.497111+00,2014-11-05 22:19:06.497111+00,f,"
CREATE INDEX part_p_type_p_partkey_idx
ON part(p_type, p_partkey);",active,2014-11-05 22:19:06.497112+00
1415226057.49645,dbt3,10645,10,sekondquad,psql,,-1,2014-11-05 22:20:46.471959+00,2014-11-05 22:20:46.476246+00,2014-11-05 22:20:46.476246+00,f,ANALYZE part;,active,2014-11-05 22:20:46.47625+00
1415226057.49645,dbt3,10654,10,sekondquad,psql,,-1,2014-11-05 22:20:57.489979+00,2014-11-05 22:20:57.493495+00,2014-11-05 22:20:57.493495+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:20:57.493503+00
1415226057.49645,dbt3,10656,10,sekondquad,psql,,-1,2014-11-05 22:20:57.491128+00,2014-11-05 22:20:57.495553+00,2014-11-05 22:20:57.495553+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:20:57.495558+00
1415226057.49645,dbt3,10655,10,sekondquad,psql,,-1,2014-11-05 22:20:57.491423+00,2014-11-05 22:20:57.495199+00,2014-11-05 22:20:57.495199+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:20:57.495203+00
1415226057.49645,dbt3,10657,10,sekondquad,psql,,-1,2014-11-05 22:20:57.492515+00,2014-11-05 22:20:57.49645+00,2014-11-05 22:20:57.49645+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:20:57.496455+00
1415226057.49645,dbt3,10549,10,sekondquad,psql,,-1,2014-11-05 22:18:57.431017+00,2014-11-05 22:18:57.43475+00,2014-11-05 22:18:57.43475+00,f,COPY lineitem FROM '/home/sekondquad/dbt3/dss/lineitem.tbl' USING DELIMITERS '|';,active,2014-11-05 22:18:57.434754+00
1415226117.49931,dbt3,10669,10,sekondquad,psql,,-1,2014-11-05 22:21:57.492013+00,2014-11-05 22:21:57.49563+00,2014-11-05 22:21:57.49563+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:21:57.495635+00
1415226117.49931,dbt3,10670,10,sekondquad,psql,,-1,2014-11-05 22:21:57.493941+00,2014-11-05 22:21:57.49931+00,2014-11-05 22:21:57.49931+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:21:57.499315+00
1415226117.49931,dbt3,10671,10,sekondquad,psql,,-1,2014-11-05 22:21:57.494464+00,2014-11-05 22:21:57.498905+00,2014-11-05 22:21:57.498905+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:21:57.498914+00
1415226117.49931,dbt3,10672,10,sekondquad,psql,,-1,2014-11-05 22:21:57.49468+00,2014-11-05 22:21:57.499103+00,2014-11-05 22:21:57.499103+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:21:57.49911+00
1415226117.49931,dbt3,10549,10,sekondquad,psql,,-1,2014-11-05 22:18:57.431017+00,2014-11-05 22:18:57.43475+00,2014-11-05 22:18:57.43475+00,f,COPY lineitem FROM '/home/sekondquad/dbt3/dss/lineitem.tbl' USING DELIMITERS '|';,active,2014-11-05 22:18:57.434754+00
1415226177.50403,dbt3,10684,10,sekondquad,psql,,-1,2014-11-05 22:22:57.496542+00,2014-11-05 22:22:57.499391+00,2014-11-05 22:22:57.499391+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:22:57.499393+00
1415226177.50403,dbt3,10685,10,sekondquad,psql,,-1,2014-11-05 22:22:57.496633+00,2014-11-05 22:22:57.500352+00,2014-11-05 22:22:57.500352+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:22:57.500357+00
1415226177.50403,dbt3,10686,10,sekondquad,psql,,-1,2014-11-05 22:22:57.499197+00,2014-11-05 22:22:57.503682+00,2014-11-05 22:22:57.503682+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:22:57.50369+00
1415226177.50403,dbt3,10687,10,sekondquad,psql,,-1,2014-11-05 22:22:57.500402+00,2014-11-05 22:22:57.504035+00,2014-11-05 22:22:57.504035+00,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2014-11-05 22:22:57.50404+00
