ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1415226701.16817,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,54631,52308,52291,408,117506
1415226701.16817,pg_catalog,pg_type,pg_type_typname_nsp_index,5713,4341,4119,1138,14744
1415226701.16817,pg_catalog,pg_type,pg_type_oid_index,216408,215831,215831,275,422014
1415226701.16817,pg_toast,pg_toast_2619,pg_toast_2619_index,39230,130844,130844,126,45903
1415226701.16817,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1415226701.16817,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1415226701.16817,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1415226701.16817,pg_toast,pg_toast_2618,pg_toast_2618_index,1092,3542,3542,286,1366
1415226701.16817,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1415226701.16817,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1415226701.16817,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1415226701.16817,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1415226701.16817,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1415226701.16817,pg_catalog,pg_authid,pg_authid_oid_index,9783,9783,9783,68,19498
1415226701.16817,pg_catalog,pg_authid,pg_authid_rolname_index,9695,9695,9695,72,19318
1415226701.16817,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,12105,54485,54485,1369,33984
1415226701.16817,pg_catalog,pg_proc,pg_proc_oid_index,76129,76129,76129,697,160948
1415226701.16817,pg_catalog,pg_class,pg_class_relname_nsp_index,36403,19193,19000,280,83504
1415226701.16817,pg_catalog,pg_class,pg_class_oid_index,220726,220215,220215,112,405323
1415226701.16817,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1415226701.16817,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1415226701.16817,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,200221,443271,443170,646,414102
1415226701.16817,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,290,290,290,459,4417
1415226701.16817,pg_catalog,pg_constraint,pg_constraint_oid_index,72,32,32,10,174
1415226701.16817,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,10,70
1415226701.16817,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,10,70
1415226701.16817,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,10,70
1415226701.16817,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1415226701.16817,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,281,0,0,139,142
1415226701.16817,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,34026,330956,330956,335,74928
1415226701.16817,pg_catalog,pg_operator,pg_operator_oid_index,40327,40327,40327,405,87527
1415226701.16817,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1415226701.16817,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1415226701.16817,pg_catalog,pg_opclass,pg_opclass_oid_index,43367,43367,43367,62,53254
1415226701.16817,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,14858,582666,582666,228,18838
1415226701.16817,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1415226701.16817,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1415226701.16817,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1415226701.16817,pg_catalog,pg_amop,pg_amop_opr_fam_index,35206,74270,74270,305,77010
1415226701.16817,pg_catalog,pg_amop,pg_amop_fam_strat_index,50958,50958,50958,207,106527
1415226701.16817,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1415226701.16817,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,42797,63729,63729,93,95450
1415226701.16817,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1415226701.16817,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1415226701.16817,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1415226701.16817,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,5096,5096,5096,325,8579
1415226701.16817,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,2374,2213,2052,371,3687
1415226701.16817,pg_catalog,pg_rewrite,pg_rewrite_oid_index,483,322,322,218,590
1415226701.16817,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1415226701.16817,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
