ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1415227489.6142,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,55620,53136,53119,414,119630
1415227489.6142,pg_catalog,pg_type,pg_type_typname_nsp_index,5793,4400,4176,1161,14943
1415227489.6142,pg_catalog,pg_type,pg_type_oid_index,220052,219467,219467,281,429487
1415227489.6142,pg_toast,pg_toast_2619,pg_toast_2619_index,39741,132554,132554,128,46505
1415227489.6142,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1415227489.6142,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1415227489.6142,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1415227489.6142,pg_toast,pg_toast_2618,pg_toast_2618_index,1150,3730,3730,290,1450
1415227489.6142,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1415227489.6142,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1415227489.6142,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1415227489.6142,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1415227489.6142,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_authid,pg_authid_oid_index,9967,9967,9967,70,19864
1415227489.6142,pg_catalog,pg_authid,pg_authid_rolname_index,9878,9878,9878,74,19682
1415227489.6142,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,12363,55661,55661,1387,34729
1415227489.6142,pg_catalog,pg_proc,pg_proc_oid_index,77822,77822,77822,706,164497
1415227489.6142,pg_catalog,pg_class,pg_class_relname_nsp_index,36945,19519,19325,285,84778
1415227489.6142,pg_catalog,pg_class,pg_class_oid_index,227059,226543,226543,116,418191
1415227489.6142,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,204869,452270,452169,653,423618
1415227489.6142,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,291,291,291,468,4442
1415227489.6142,pg_catalog,pg_constraint,pg_constraint_oid_index,72,32,32,10,174
1415227489.6142,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,10,70
1415227489.6142,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,10,70
1415227489.6142,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,10,70
1415227489.6142,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,285,0,0,142,143
1415227489.6142,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,34516,335360,335360,345,76021
1415227489.6142,pg_catalog,pg_operator,pg_operator_oid_index,41012,41012,41012,414,89033
1415227489.6142,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_opclass,pg_opclass_oid_index,44046,44046,44046,64,54127
1415227489.6142,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,15080,591392,591392,230,19142
1415227489.6142,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_amop,pg_amop_opr_fam_index,35787,75419,75419,312,78295
1415227489.6142,pg_catalog,pg_amop,pg_amop_fam_strat_index,51824,51824,51824,210,108361
1415227489.6142,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,43503,64794,64794,96,97055
1415227489.6142,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,5173,5173,5173,329,8712
1415227489.6142,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,2482,2318,2154,373,3870
1415227489.6142,pg_catalog,pg_rewrite,pg_rewrite_oid_index,492,328,328,222,601
1415227489.6142,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_description,pg_description_o_c_o_index,1240,0,0,380,2385
1415227489.6142,pg_catalog,pg_database,pg_database_oid_index,15672,15671,15671,64,26049
1415227489.6142,pg_catalog,pg_database,pg_database_datname_index,20308,20307,20307,64,30665
1415227489.6142,pg_catalog,pg_enum,pg_enum_typid_sortorder_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_enum,pg_enum_typid_label_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_enum,pg_enum_oid_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_namespace,pg_namespace_oid_index,24314,24300,24300,658,25013
1415227489.6142,pg_catalog,pg_namespace,pg_namespace_nspname_index,27538,17695,17695,71,37310
1415227489.6142,pg_catalog,pg_conversion,pg_conversion_oid_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_conversion,pg_conversion_default_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_depend,pg_depend_reference_index,9398,10278,8592,2082,21803
1415227489.6142,pg_catalog,pg_depend,pg_depend_depender_index,2635,4320,4320,992,9362
1415227489.6142,pg_catalog,pg_db_role_setting,pg_db_role_setting_databaseid_rol_index,31320,0,0,32,31288
1415227489.6142,pg_catalog,pg_tablespace,pg_tablespace_spcname_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_tablespace,pg_tablespace_oid_index,7214,7214,7214,86,14342
1415227489.6142,pg_catalog,pg_pltemplate,pg_pltemplate_name_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_auth_members,pg_auth_members_member_role_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_auth_members,pg_auth_members_role_member_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_shdepend,pg_shdepend_reference_index,310,310,310,282,324
1415227489.6142,pg_catalog,pg_shdepend,pg_shdepend_depender_index,1241,0,0,261,1266
1415227489.6142,pg_catalog,pg_shdescription,pg_shdescription_o_c_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_ts_config,pg_ts_config_oid_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_ts_config,pg_ts_config_cfgname_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_ts_config_map,pg_ts_config_map_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_ts_dict,pg_ts_dict_oid_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_ts_dict,pg_ts_dict_dictname_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_ts_parser,pg_ts_parser_oid_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_ts_parser,pg_ts_parser_prsname_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_ts_template,pg_ts_template_oid_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_ts_template,pg_ts_template_tmplname_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_extension,pg_extension_name_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_extension,pg_extension_oid_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_name_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_oid_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_foreign_server,pg_foreign_server_name_index,0,0,0,0,0
1415227489.6142,pg_catalog,pg_foreign_server,pg_foreign_server_oid_index,0,0,0,0,0
