# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1415227549;-1;23.63;0.00;4.31;0.25;0.00;71.81
axle;60;1415227549;0;54.41;0.00;9.89;0.99;0.00;34.71
axle;60;1415227549;1;48.23;0.00;8.69;1.31;0.00;41.77
axle;60;1415227549;2;43.90;0.00;9.99;1.66;0.00;44.45
axle;60;1415227549;3;46.73;0.00;9.21;0.20;0.00;43.85
axle;60;1415227549;4;44.43;0.00;10.81;0.58;0.00;44.18
axle;60;1415227549;5;44.47;0.00;8.77;1.11;0.00;45.64
axle;60;1415227549;6;49.95;0.00;9.13;0.80;0.00;40.12
axle;60;1415227549;7;44.47;0.00;9.76;0.15;0.00;45.61
axle;60;1415227549;8;55.59;0.00;1.95;0.02;0.00;42.44
axle;60;1415227549;9;10.06;0.00;2.82;0.02;0.00;87.10
axle;60;1415227549;10;9.71;0.00;2.15;0.02;0.00;88.12
axle;60;1415227549;11;16.00;0.00;1.90;0.00;0.00;82.11
axle;60;1415227549;12;7.82;0.00;1.64;0.00;0.00;90.53
axle;60;1415227549;13;9.46;0.00;1.95;0.00;0.00;88.59
axle;60;1415227549;14;11.05;0.00;1.90;0.02;0.00;87.03
axle;60;1415227549;15;9.03;0.00;1.90;0.02;0.00;89.05
axle;60;1415227549;16;15.48;0.00;3.81;0.02;0.00;80.69
axle;60;1415227549;17;16.25;0.00;3.01;0.02;0.00;80.73
axle;60;1415227549;18;15.99;0.00;3.24;0.02;0.00;80.75
axle;60;1415227549;19;15.35;0.00;3.51;0.02;0.00;81.13
axle;60;1415227549;20;15.20;0.00;3.54;0.03;0.00;81.23
axle;60;1415227549;21;16.02;0.00;3.17;0.03;0.00;80.78
axle;60;1415227549;22;15.94;0.00;3.92;0.02;0.00;80.12
axle;60;1415227549;23;67.09;0.00;1.66;0.00;0.00;31.26
axle;60;1415227549;24;22.56;0.00;4.48;0.03;0.00;72.92
axle;60;1415227549;25;32.07;0.00;2.68;0.05;0.00;65.20
axle;60;1415227549;26;19.75;0.00;4.50;0.39;0.00;75.37
axle;60;1415227549;27;17.48;0.00;4.60;0.00;0.00;77.92
axle;60;1415227549;28;19.83;0.00;4.37;0.19;0.00;75.62
axle;60;1415227549;29;20.18;0.00;4.06;0.85;0.00;74.92
axle;60;1415227549;30;18.53;0.00;4.54;0.15;0.00;76.77
axle;60;1415227549;31;18.40;0.00;4.64;0.44;0.00;76.52
axle;60;1415227549;32;41.01;0.00;6.67;1.17;0.00;51.14
axle;60;1415227549;33;42.46;0.00;6.75;0.03;0.00;50.76
axle;60;1415227549;34;39.51;0.00;9.05;0.78;0.00;50.65
axle;60;1415227549;35;39.58;0.00;7.74;0.12;0.00;52.56
axle;60;1415227549;36;40.24;0.00;8.64;1.19;0.00;49.93
axle;60;1415227549;37;41.68;0.00;7.57;1.89;0.00;48.86
axle;60;1415227549;38;39.25;0.00;6.80;0.03;0.00;53.91
axle;60;1415227549;39;42.65;0.00;8.20;1.41;0.00;47.74
axle;60;1415227549;40;7.10;0.00;1.52;0.00;0.00;91.38
axle;60;1415227549;41;7.50;0.00;1.57;0.00;0.00;90.92
axle;60;1415227549;42;8.17;0.00;1.92;0.05;0.00;89.86
axle;60;1415227549;43;7.59;0.00;1.64;0.00;0.00;90.76
axle;60;1415227549;44;58.75;0.00;1.30;0.00;0.00;39.94
axle;60;1415227549;45;7.46;0.00;1.66;0.00;0.00;90.88
axle;60;1415227549;46;8.00;0.00;1.86;0.00;0.00;90.14
axle;60;1415227549;47;8.62;0.00;1.72;0.00;0.00;89.65
axle;60;1415227549;48;14.10;0.00;2.10;0.02;0.00;83.78
axle;60;1415227549;49;13.74;0.00;3.44;0.03;0.00;82.79
axle;60;1415227549;50;11.31;0.00;2.48;0.00;0.00;86.22
axle;60;1415227549;51;12.58;0.00;2.99;0.02;0.00;84.42
axle;60;1415227549;52;13.57;0.00;2.62;0.03;0.00;83.78
axle;60;1415227549;53;12.83;0.00;1.96;0.00;0.00;85.21
axle;60;1415227549;54;12.43;0.00;2.36;0.00;0.00;85.21
axle;60;1415227549;55;8.46;0.00;1.37;0.00;0.00;90.17
axle;60;1415227549;56;12.93;0.00;3.64;0.02;0.00;83.41
axle;60;1415227549;57;22.63;0.00;3.12;0.07;0.00;74.18
axle;60;1415227549;58;16.21;0.00;5.39;0.00;0.00;78.40
axle;60;1415227549;59;14.16;0.00;4.07;0.02;0.00;81.75
axle;60;1415227549;60;18.32;0.00;3.59;0.00;0.00;78.09
axle;60;1415227549;61;15.64;0.00;3.28;0.00;0.00;81.08
axle;60;1415227549;62;13.92;0.00;3.23;0.02;0.00;82.83
axle;60;1415227549;63;14.35;0.00;4.79;0.00;0.00;80.86
axle;60;1415227609;-1;25.52;0.00;3.40;0.06;0.00;71.02
axle;60;1415227609;0;45.80;0.00;7.12;0.14;0.00;46.93
axle;60;1415227609;1;40.72;0.00;6.20;0.17;0.00;52.90
axle;60;1415227609;2;41.11;0.00;5.36;0.10;0.00;53.42
axle;60;1415227609;3;36.95;0.00;6.57;0.00;0.00;56.48
axle;60;1415227609;4;43.05;0.00;5.35;0.02;0.00;51.58
axle;60;1415227609;5;38.25;0.00;6.89;0.03;0.00;54.83
axle;60;1415227609;6;40.66;0.00;5.56;0.08;0.00;53.70
axle;60;1415227609;7;38.66;0.00;5.06;0.10;0.00;56.18
axle;60;1415227609;8;34.66;0.00;1.28;0.00;0.00;64.06
axle;60;1415227609;9;16.16;0.00;1.53;0.00;0.00;82.31
axle;60;1415227609;10;15.81;0.00;2.07;0.00;0.00;82.12
axle;60;1415227609;11;13.92;0.00;1.55;0.00;0.00;84.52
axle;60;1415227609;12;14.03;0.00;2.10;0.24;0.00;83.63
axle;60;1415227609;13;14.89;0.00;2.99;0.00;0.00;82.11
axle;60;1415227609;14;15.71;0.00;1.61;0.00;0.00;82.68
axle;60;1415227609;15;14.09;0.00;1.86;0.00;0.00;84.04
